Reference,NbReceptionDerniersMois,QteReceptionneeDerniersMois,NbReceptionMois2,QteReceptionneeMois2,NbReceptionMois3,QteReceptionneeMois3
REF-119203,1,130,1,168,1,94
REF-113684,28,3799,12,4767,21,6098
REF-115294,8,3789,29,3783,9,3817
REF-120438,24,4863,7,3309,31,4045
REF-141699,8,3748,16,1991,2,1005
REF-110109,8,1931,5,2432,32,2956
REF-115519,4,1712,12,1607,3,1092
REF-144009,14,3412,16,3196,7,2720
REF-141928,15,4277,31,4638,20,5352
REF-129694,10,3610,34,1817,3,1054
REF-141932,8,1761,6,1497,8,795
REF-148678,9,1757,5,2052,3,1129
REF-104693,4,1677,7,881,6,1015
REF-119721,3,826,2,467,4,460
REF-131709,19,3424,11,4354,7,3475
REF-126442,16,2930,18,3574,29,4283
REF-120497,5,2586,7,1430,2,1125
REF-143652,34,4059,25,4758,5,2851
REF-122987,1,505,1,257,3,333
REF-100087,8,2594,10,2463,45,3150
REF-102869,19,3628,5,2207,2,1160
REF-107604,10,3946,14,2011,2,1029
REF-103183,9,4244,13,5274,16,6025
REF-118165,7,3349,54,3184,5,2433
REF-138293,21,4463,21,4148,20,4676
REF-140301,10,1480,1,776,1,722
REF-120640,24,2285,11,1178,10,800
REF-125291,1,352,1,405,1,403
REF-121645,9,4312,7,2392,7,3076
REF-103381,4,872,4,772,5,882
REF-102077,1,140,1,132,1,77
REF-116803,1,710,6,618,15,799
REF-103626,12,3778,7,3174,15,2466
REF-144191,1,394,6,420,1,232
REF-131376,19,2615,6,2281,19,2868
REF-117589,15,1695,19,1847,22,1811
REF-106948,15,4129,12,3361,8,4151
REF-149593,1,162,1,86,1,77
REF-103358,4,1757,4,1499,4,1266
REF-136664,8,3777,13,4078,11,4642
REF-132602,3,1280,6,1527,10,1270
REF-132949,5,1522,3,1636,3,1799
REF-148426,3,1900,3,1093,2,886
REF-139225,14,4320,14,3629,30,4476
REF-105152,1,86,1,51,1,26
REF-112374,11,4390,38,4379,50,3236
REF-105443,9,3155,5,2847,5,1457
REF-129170,6,1823,5,1484,3,1690
REF-100504,13,4198,29,5393,54,6694
REF-102566,4,765,6,502,1,359
REF-135589,9,4063,14,2806,9,3525
REF-135565,1,104,1,106,1,113
REF-131548,22,3748,48,4044,23,4782
REF-117775,6,2553,6,3049,12,1580
REF-129566,7,2199,2,1376,12,708
REF-121112,12,3032,17,3556,8,3549
REF-104227,21,2286,3,1157,6,654
REF-120230,5,1475,1,886,1,689
REF-137928,18,4999,37,5640,10,4385
REF-128815,8,3895,13,4223,4,2260
REF-107977,9,2313,6,2921,3,1508
REF-136964,7,2079,13,1790,2,1092
REF-104897,2,505,1,380,1,459
REF-103813,50,3962,18,4460,99,5275
REF-116826,11,4460,12,4492,11,4032
REF-127058,17,2045,10,1642,4,1765
REF-113352,4,1237,1,780,4,833
REF-103677,1,548,4,314,1,217
REF-106436,1,508,1,374,1,265
REF-100359,9,1902,6,1369,4,1274
REF-148387,4,1882,5,2350,10,1460
REF-134846,4,451,1,433,1,329
REF-132527,4,1062,1,704,1,734
REF-145966,1,183,1,117,1,137
REF-137158,4,1931,27,2452,6,1503
REF-130598,1,307,1,390,2,470
REF-123894,18,4190,44,4885,56,5347
REF-146645,5,2081,21,1983,5,1591
REF-145395,9,3034,28,2722,15,2039
REF-136981,12,2417,8,2583,8,1419
REF-116238,1,303,1,313,1,228
REF-132872,10,3931,17,4707,7,3083
REF-136354,4,1020,1,847,6,519
REF-115047,4,1542,3,1377,4,1045
REF-145164,9,2434,21,2431,7,1609
REF-115920,20,4017,11,4781,7,2427
REF-109096,9,2928,3,1781,6,2168
REF-107103,3,1129,7,1246,4,1300
REF-137499,14,4785,14,6116,27,7136
REF-128824,13,4569,9,4119,9,2873
REF-108489,2,145,1,122,1,147
REF-116189,24,3576,9,3695,29,2531
REF-121141,16,4956,36,4920,22,6004
REF-131665,9,4695,8,3217,7,3642
REF-138258,61,4561,8,4011,13,2707
REF-133553,11,3979,12,4976,12,4020
REF-136876,60,4864,19,5893,14,6564
REF-149735,5,2139,10,2049,3,1446
REF-147733,14,1865,6,2312,15,1776
REF-100357,10,1615,6,1017,2,1064
REF-103241,10,4736,27,4121,19,4372
REF-107907,4,1950,7,1616,4,2053
REF-103632,16,1754,2,1021,5,1121
REF-103949,61,4228,10,4549,28,2433
REF-137524,1,188,1,224,4,220
REF-141323,4,2111,5,2340,44,2604
REF-116241,2,1073,4,1128,3,813
REF-121041,9,2531,5,1722,15,1190
REF-123291,3,1159,1,678,1,412
REF-134243,32,4561,23,5365,9,4071
REF-127355,3,913,12,685,1,421
REF-144172,7,2866,6,2240,20,1850
REF-106378,10,4049,25,2682,5,1988
REF-129433,6,1906,5,1702,4,2043
REF-106839,9,4126,13,3042,8,3156
REF-112990,4,1943,8,2435,4,2192
REF-102804,5,2202,5,2426,3,1898
REF-133246,19,1842,12,1412,4,1530
REF-128007,4,2063,7,1626,6,1990
REF-126666,6,2476,13,1433,2,958
REF-134477,12,4663,50,3625,6,2302
REF-103174,8,3775,11,2734,6,1957
REF-128897,8,3264,7,1914,3,1601
REF-107147,13,2727,8,2615,18,2083
REF-131359,1,417,1,225,1,181
REF-137414,10,3702,8,4036,7,3730
REF-131107,1,330,1,287,1,254
REF-116388,2,644,1,575,2,409
REF-110059,1,87,1,93,1,112
REF-114983,3,1067,16,1289,3,1093
REF-131959,6,2677,63,3244,17,3345
REF-118294,8,2482,4,2131,7,2702
REF-132454,7,3771,10,4118,5,2220
REF-149805,7,1855,4,1282,7,930
REF-106492,1,505,2,451,1,416
REF-127421,16,4599,22,2983,7,2666
REF-132559,13,1768,8,2050,24,2170
REF-119972,1,363,1,333,1,236
REF-134865,3,1416,13,1638,4,1395
REF-101088,10,4805,19,4382,20,2615
REF-107863,3,1682,5,1583,11,1310
REF-129660,17,4344,52,3906,10,3199
REF-149172,10,4819,31,4497,10,2539
REF-110269,22,3089,7,3290,13,3380
REF-107650,8,3531,9,2409,5,2541
REF-132470,10,4234,21,4966,33,5164
REF-145889,13,1641,9,1842,4,1529
REF-139534,5,1771,19,1428,2,1383
REF-140196,5,1643,2,966,9,1143
REF-132629,14,4859,85,4771,20,3602
REF-108294,5,2475,4,2192,2,1259
REF-139398,13,4820,10,3983,15,3772
REF-140220,9,2154,16,2779,21,2672
REF-109382,10,1112,3,1092,3,811
REF-133760,6,2989,57,3035,25,3861
REF-130356,56,4703,4,2435,10,3042
REF-149536,3,1398,4,1739,2,1065
REF-115067,40,3726,7,3468,5,2600
REF-102879,21,1556,7,1613,5,892
REF-108158,5,1952,2,1025,7,1195
REF-105531,8,3152,13,3635,15,2177
REF-107982,7,2775,5,2307,10,2426
REF-141435,45,3447,10,4021,10,4910
REF-106276,7,1992,15,2533,43,2849
REF-120990,18,3488,12,4414,45,3609
REF-147747,3,973,2,987,6,869
REF-141442,4,1510,15,1635,2,823
REF-104265,8,1907,3,1271,14,1217
REF-125031,17,2768,6,3335,4,1808
REF-121181,10,1725,2,1179,1,757
REF-107428,9,3550,18,3237,9,4057
REF-147007,5,2210,11,2396,12,1668
REF-119728,72,4471,6,2941,6,2731
REF-111487,19,4534,8,2971,38,2549
REF-112891,24,2850,16,2042,7,2196
REF-111222,3,1059,4,612,1,456
REF-102653,90,4959,21,5858,33,7339
REF-122526,11,4955,9,4189,5,2260
REF-125779,6,2510,4,1838,4,1725
REF-115953,11,3739,32,4002,5,2049
REF-107971,6,583,3,598,1,460
REF-129288,3,1594,3,1231,19,1593
REF-119922,1,534,10,606,2,431
REF-116212,9,3082,32,3484,17,3717
REF-123975,13,1494,3,1355,28,1620
REF-141321,8,3511,9,3822,8,2527
REF-116294,10,3873,11,4538,28,2356
REF-130921,18,2961,7,3220,19,4043
REF-124193,7,2089,3,1594,5,1726
REF-146477,2,327,3,398,1,363
REF-131960,10,4491,6,2709,26,3385
REF-148881,6,2108,5,1892,2,962
REF-145298,1,540,1,295,1,368
REF-134935,1,302,1,196,1,145
REF-129185,4,601,1,680,1,812
REF-107112,4,1155,3,1319,3,1278
REF-148577,28,3255,12,2284,4,1184
REF-148736,8,635,2,556,2,611
REF-128095,6,3183,3,1657,10,1043
REF-112793,5,1678,14,1978,8,1012
REF-101347,6,1678,4,2088,9,1519
REF-144046,1,223,1,195,1,168
REF-105104,6,604,3,530,1,410
REF-115792,1,173,1,199,1,182
REF-108838,3,479,8,580,2,619
REF-106444,20,2440,6,1599,4,1900
REF-118064,1,614,3,767,3,923
REF-130866,9,4313,9,4448,43,4350
REF-125146,6,852,8,1034,3,617
REF-109678,6,2872,21,2081,6,1894
REF-147890,4,2075,5,2678,18,3137
REF-106056,1,175,1,139,1,119
REF-143047,7,2811,24,2721,11,2718
REF-113918,4,1602,10,2020,4,1200
REF-123241,1,575,1,403,1,294
REF-106382,12,4733,8,3996,5,2368
REF-138140,6,1004,4,1247,13,1255
REF-106699,10,2212,4,1406,4,1159
REF-103396,9,4014,9,4359,6,2720
REF-142110,24,2919,5,2666,13,1485
REF-104263,30,3492,13,3092,34,3559
REF-137764,4,2118,4,1445,2,1040
REF-123060,1,24,1,22,1,23
REF-139119,14,1329,5,1252,4,1449
REF-129451,13,3161,7,3211,6,2671
REF-117411,4,1180,4,1524,3,1413
REF-114022,4,2270,28,2606,9,3137
REF-132475,62,4033,16,2982,4,1784
REF-113105,31,2271,17,2053,17,2642
REF-123454,24,3678,6,1916,23,1263
REF-130670,63,3467,21,3592,14,3966
REF-129261,11,1921,2,1187,2,1073
REF-123499,4,2245,5,1921,14,1632
REF-142204,2,909,2,627,11,622
REF-112756,11,680,7,881,13,716
REF-140968,4,1721,3,1643,4,2086
REF-142118,2,1292,3,1543,2,1219
REF-106334,6,2370,5,2243,3,1391
REF-107879,9,4095,9,4574,26,5635
REF-139650,5,2553,6,2907,8,3464
REF-115406,30,3222,8,1952,4,1235
REF-141806,6,2211,3,1134,11,916
REF-126042,1,870,4,857,8,509
REF-115903,1,403,2,412,1,334
REF-135148,13,3153,14,2554,4,1878
REF-117283,55,3287,13,3482,15,3531
REF-131691,5,2197,5,2373,4,1789
REF-133085,19,2404,6,1627,6,1076
REF-100989,10,4290,10,3302,14,2418
REF-139373,5,1618,10,1867,7,2352
REF-124932,24,2639,6,1530,11,1737
REF-106102,17,2310,13,2684,6,2794
REF-110333,1,412,1,234,1,146
REF-118605,3,1106,2,863,15,818
REF-103549,18,4466,12,5510,15,2855
REF-115389,62,3683,13,4452,8,2359
REF-103382,61,3858,28,4871,66,6205
REF-113902,31,2875,18,1490,14,1501
REF-148964,39,2043,40,2323,11,2229
REF-135267,1,344,2,318,1,186
REF-144570,1,260,1,296,1,291
REF-124837,8,493,2,415,1,216
REF-135799,19,3406,7,2608,10,2287
REF-116344,14,1987,4,1469,3,1733
REF-148309,3,1406,1,837,3,826
REF-140316,6,830,6,665,3,594
REF-114760,67,4333,34,5136,12,4778
REF-124001,21,2941,6,2467,3,1513
REF-143125,2,1062,7,1126,1,666
REF-106518,9,2712,12,3089,9,2185
REF-141765,1,723,1,904,7,1169
REF-135880,2,663,2,633,5,671
REF-126836,8,2846,6,3328,9,3544
REF-140012,5,2507,6,2752,20,3115
REF-100670,5,1652,5,1902,9,1278
REF-109381,12,4292,24,3865,10,3102
REF-144748,6,2552,31,1992,10,1602
REF-128019,27,3834,9,3622,11,4009
REF-121068,17,1811,25,2110,7,2676
REF-130177,3,1567,6,1171,6,1387
REF-104229,8,609,2,603,1,558
REF-123898,4,1595,8,836,3,618
REF-120098,27,2844,5,2521,8,2622
REF-147020,11,3636,13,2498,5,2105
REF-116128,6,2367,4,1829,7,2371
REF-109242,7,2014,5,2209,7,2242
REF-109163,17,3523,9,3143,5,1799
REF-122658,11,2436,4,1740,1,880
REF-131446,14,3619,7,3225,25,2453
REF-124257,8,3847,34,2859,44,3091
REF-141564,2,781,2,670,4,768
REF-126036,1,39,1,33,1,26
REF-116431,31,4467,38,5633,13,3545
REF-130856,10,2907,4,1981,4,1987
REF-124169,1,368,1,386,2,291
REF-146137,1,127,1,154,1,119
REF-140728,1,406,8,446,2,541
REF-117505,18,4404,5,2643,5,1815
REF-128225,14,2211,9,2434,17,2888
REF-121931,3,759,1,388,1,307
REF-146144,16,2617,10,2729,10,2029
REF-114538,3,508,3,647,1,813
REF-119370,33,2332,9,2698,3,1598
REF-120073,10,2890,7,2743,18,3367
REF-138115,33,3131,39,3797,9,2745
REF-130133,3,1028,2,1055,3,832
REF-107794,5,1974,22,1262,1,677
REF-132926,7,3208,10,3546,14,2771
REF-105003,3,1153,4,976,1,871
REF-124002,41,3674,9,3514,14,4398
REF-107385,8,4197,34,4592,68,4505
REF-135599,1,300,4,374,1,294
REF-106936,2,829,2,853,8,890
REF-131009,7,3337,9,2512,15,1323
REF-117940,8,2384,5,1758,4,1636
REF-123867,11,1069,3,1234,4,808
REF-137006,6,2128,5,2511,4,2391
REF-106475,1,23,1,22,1,12
REF-136082,31,3035,5,2648,9,1450
REF-107626,19,1046,6,1044,2,1165
REF-125098,54,4007,16,3932,9,4615
REF-123274,11,3218,33,2886,7,3569
REF-114045,1,177,1,142,1,76
REF-147964,6,726,6,577,1,662
REF-116618,17,4926,12,4915,10,5003
REF-124765,14,3660,33,4465,17,5044
REF-138213,13,4535,16,5657,24,7257
REF-141331,8,4440,7,3446,19,4324
REF-139632,18,1364,5,1282,7,1269
REF-117566,22,2746,41,2719,8,1679
REF-106303,61,4859,33,3000,6,2085
REF-114238,31,3604,6,2187,6,1349
REF-127369,1,557,1,457,1,479
REF-141593,6,3197,19,3747,23,3212
REF-119233,6,929,4,946,4,1135
REF-145553,10,2877,15,3109,6,2134
REF-135687,6,1615,4,1394,10,765
REF-140938,24,1761,3,1370,6,1561
REF-130666,2,980,2,1022,1,643
REF-133762,3,219,1,282,1,154
REF-131672,1,149,1,142,1,142
REF-106778,27,1507,23,1906,2,1005
REF-111364,5,1617,6,1890,3,1253
REF-130100,4,1596,2,995,11,925
REF-147181,13,3085,6,2156,7,1161
REF-140964,17,2876,10,1680,18,2157
REF-103193,7,1066,2,886,2,1105
REF-135981,3,1659,5,1365,1,868
REF-110854,17,2518,8,2824,8,2388
REF-127051,9,4465,15,3457,8,2910
REF-143945,3,1203,3,939,2,1099
REF-101154,5,1130,6,1062,6,735
REF-127938,14,3362,3,1781,7,1607
REF-145797,9,4068,11,4947,18,5727
REF-120149,3,596,1,338,1,260
REF-139805,10,4811,33,2735,42,2833
REF-113756,11,4464,19,5430,11,4766
REF-113317,10,783,2,729,2,749
REF-113614,26,2568,45,2704,6,2883
REF-142923,12,3944,53,4910,56,4348
REF-131658,1,564,1,478,4,276
REF-135189,20,3635,8,1867,7,1275
REF-109309,22,2308,5,1397,7,769
REF-119665,2,714,6,855,2,488
REF-102252,6,1290,7,1074,2,584
REF-138209,3,617,5,777,3,908
REF-123232,10,4150,43,5202,28,3044
REF-131298,4,1803,11,1785,4,1058
REF-137212,5,1132,15,948,1,535
REF-129204,10,2578,11,2782,5,2087
REF-107643,1,324,1,214,1,185
REF-125504,6,2907,14,2284,8,2904
REF-103456,27,4306,12,3221,6,2895
REF-104981,7,1960,2,1380,5,1078
REF-126328,32,4685,15,4186,9,3836
REF-114451,4,1161,1,651,7,730
REF-131477,4,1488,8,1003,9,1227
REF-142565,2,982,19,1250,10,1007
REF-123755,25,3453,10,4222,9,3867
REF-104302,8,4118,7,2864,26,3579
REF-124812,16,4649,9,4018,9,3826
REF-131075,1,97,1,83,1,57
REF-118567,4,1108,13,754,1,426
REF-122835,3,764,2,571,1,338
REF-139001,5,1595,2,1060,3,1062
REF-136397,9,3626,47,4152,29,4440
REF-148170,82,4225,22,5431,28,2824
REF-102728,9,4078,10,4862,13,4075
REF-134838,53,3451,18,2346,5,2415
REF-130509,7,1165,3,602,3,616
REF-116929,6,2637,38,2377,22,2482
REF-142336,31,4987,7,2863,4,1450
REF-130440,3,1491,3,1430,7,1736
REF-114207,2,491,1,338,1,417
REF-113985,60,4388,12,4453,12,5138
REF-102784,55,3502,8,2042,9,1582
REF-111644,4,1749,8,1200,1,689
REF-139232,9,3287,10,3266,6,2794
REF-144922,4,2180,10,2640,6,2931
REF-114209,1,322,1,275,1,240
REF-137957,21,3567,17,4391,12,4430
REF-130071,9,4632,12,6000,15,4810
REF-104262,8,4132,18,5347,33,5041
REF-113474,9,3378,26,3390,34,2232
REF-138094,8,1430,28,1712,4,1473
REF-124679,2,778,2,777,1,399
REF-106002,3,1633,2,1184,4,858
REF-122303,1,15,1,16,1,13
REF-138295,14,1986,2,1032,2,699
REF-138816,16,2486,14,3182,6,2240
REF-142227,26,2734,13,2171,10,2574
REF-123830,11,3509,44,3475,13,4235
REF-128679,24,1240,1,733,1,711
REF-134961,12,4263,11,3760,17,3422
REF-125278,6,1442,8,1440,8,1759
REF-112300,29,3726,38,3968,23,2993
REF-140798,32,1872,6,1594,3,1410
REF-116399,17,4776,91,5097,21,3620
REF-141785,9,3066,7,3552,4,2113
REF-127269,37,2029,2,1125,2,595
REF-118563,30,2967,25,3238,7,3487
REF-126150,15,1141,4,1049,4,635
REF-104187,16,2406,5,2286,7,2017
REF-128042,10,3248,6,2021,16,1880
REF-144808,36,4341,16,3958,20,3356
REF-119788,4,446,2,459,2,259
REF-107587,21,4779,52,5628,8,2971
REF-123539,10,2871,7,2762,4,1565
REF-107089,14,3350,22,3938,19,2993
REF-141148,1,929,3,632,1,567
REF-106723,23,3522,25,4257,8,2680
REF-108227,6,2026,12,1102,10,1420
REF-110080,1,292,1,287,1,175
REF-129769,1,96,1,53,1,32
REF-114350,3,761,1,447,1,226
REF-139655,11,4684,14,5308,24,5564
REF-122223,10,4264,14,4444,12,4110
REF-143804,3,1644,2,916,1,555
REF-127740,10,3567,10,3567,29,4145
REF-105406,58,3076,10,2718,5,1957
REF-120996,12,2099,4,1124,3,1150
REF-138735,14,4164,14,4067,12,4661
REF-127627,4,2023,34,1938,6,1727
REF-107955,14,1544,7,1865,14,2247
REF-105079,23,4250,16,4519,11,4273
REF-141565,19,3815,10,3734,55,3218
REF-135219,2,631,10,675,2,500
REF-134913,14,4412,40,5574,10,4531
REF-117965,53,4778,14,4599,5,2440
REF-103720,5,1576,3,1474,4,889
REF-123318,8,2277,23,2244,10,2721
REF-118315,8,2271,2,1323,2,1113
REF-132081,13,3306,6,3244,7,2887
REF-137453,18,1435,5,1404,2,723
REF-109496,5,2174,8,2631,33,2780
REF-120313,6,1968,4,1917,3,1058
REF-142510,1,805,1,814,8,769
REF-120970,17,4386,8,3694,12,3558
REF-109171,10,4003,16,2355,3,1559
REF-115925,17,2875,10,2254,5,2815
REF-140734,13,4690,23,4023,7,3550
REF-145764,9,3458,23,3993,6,2932
REF-132839,1,476,1,553,2,397
REF-143831,52,3105,12,3446,5,2049
REF-121063,71,3856,5,2387,9,2249
REF-104531,7,2568,6,1886,6,2376
REF-135791,4,1776,4,1647,3,1751
REF-107478,5,2782,34,2325,21,2613
REF-142342,5,2024,5,2381,11,2366
REF-102031,1,363,1,457,4,331
REF-128473,4,2172,12,2782,11,2266
REF-113053,24,3779,7,3185,15,3753
REF-129143,16,3604,42,4590,7,3214
REF-123751,8,2202,5,2044,7,2602
REF-132057,22,2361,14,2499,12,2249
REF-102493,47,4502,13,5365,11,5143
REF-123731,1,112,1,59,1,61
REF-100947,14,3179,21,3861,14,3961
REF-108040,34,3313,23,2139,6,1730
REF-118107,32,2184,7,2793,11,2388
REF-143779,1,453,1,475,2,386
REF-109883,20,3129,8,3970,70,4082
REF-117879,1,436,1,370,1,185
REF-126447,31,2457,19,1689,3,1222
REF-104875,19,3657,14,3494,11,3726
REF-111099,2,389,1,249,1,277
REF-137755,2,305,1,342,1,255
REF-121810,9,4090,19,4874,5,2570
REF-127886,6,604,1,545,4,449
REF-117514,8,4303,12,5354,20,2708
REF-128345,4,1721,5,1652,6,1882
REF-142281,20,3108,8,3003,55,3800
REF-113740,15,3340,7,2591,3,1385
REF-117931,13,2827,20,3476,35,3129
REF-129203,24,2961,54,3116,12,1664
REF-107606,21,3810,7,3754,4,2150
REF-135695,10,3049,55,3897,18,3479
REF-123551,37,4738,66,4421,9,4356
REF-113851,4,1082,16,1211,19,1389
REF-146075,32,1860,4,1788,7,2152
REF-139020,24,2070,10,1589,1,942
REF-144382,8,3865,10,4203,10,4209
REF-100651,5,1378,7,1038,2,1212
REF-142010,1,849,1,710,2,435
REF-122118,12,2349,7,1574,2,1069
REF-138071,5,675,1,423,3,507
REF-138568,10,4291,13,3346,8,3578
REF-100755,14,4065,9,4039,24,5210
REF-142065,1,529,2,664,1,442
REF-148459,6,2536,5,2373,8,2980
REF-140832,2,875,1,912,2,1034
REF-138633,4,2029,22,1589,4,1886
REF-120133,7,2183,10,1842,12,1194
REF-101801,8,1401,6,1189,2,1294
REF-132523,14,2902,5,1555,4,1268
REF-131430,38,2064,7,1992,6,2574
REF-113502,9,4617,11,5054,7,3313
REF-124339,1,39,1,42,1,27
REF-148096,13,3934,26,4063,8,4293
REF-149270,1,748,1,493,1,389
REF-100185,3,1066,3,1038,3,741
REF-146463,13,2851,60,3043,8,2646
REF-107634,10,4147,40,2888,10,3372
REF-117900,26,4673,13,4136,4,2094
REF-146248,12,4329,51,5604,33,5401
REF-118640,7,3716,14,4760,14,4375
REF-147095,12,3243,17,2809,7,2132
REF-119735,10,3141,9,2472,5,2090
REF-141324,5,2045,2,1129,5,1064
REF-145288,6,3412,36,3783,6,2713
REF-143091,23,3038,5,2853,26,2615
REF-149918,7,3492,4,1811,3,1877
REF-103963,3,590,1,584,1,558
REF-105927,10,4904,6,2650,2,1405
REF-147944,20,3739,8,3061,3,1568
REF-129908,7,1778,3,1324,3,1676
REF-141131,11,3062,26,3859,36,3920
REF-103588,3,1505,3,1308,4,1406
REF-118166,6,1651,3,1102,1,684
REF-129134,2,1117,3,1266,6,1293
REF-130625,8,3461,11,3529,9,4318
REF-120627,26,2910,22,2144,8,2427
REF-126007,14,3745,10,3113,6,2352
REF-127419,6,1612,2,1033,2,1243
REF-144574,19,4968,7,3333,7,3092
REF-116750,2,1019,2,1039,5,726
REF-115710,5,1150,3,671,3,396
REF-114010,8,3169,18,3650,43,2290
REF-143072,5,1132,6,1301,2,700
REF-107925,15,3534,14,2457,19,2893
REF-119699,1,335,2,299,5,299
REF-114618,15,2013,8,2038,7,2402
REF-116287,1,444,2,489,2,314
REF-113812,5,783,3,927,3,835
REF-122918,18,1064,14,789,2,931
REF-125161,50,4861,29,4595,46,5390
REF-127714,4,1384,3,1178,4,738
REF-143915,11,2235,4,1699,6,1989
REF-114750,28,4360,24,3056,7,3436
REF-146572,7,3036,9,3752,61,3276
REF-136712,2,754,1,621,1,650
REF-142470,3,732,2,594,2,643
REF-109219,14,1171,12,889,2,825
REF-100044,7,1183,3,718,3,735
REF-149328,2,939,4,927,1,681
REF-126737,32,4136,9,3462,6,1971
REF-111630,12,4375,10,4626,11,5618
REF-114387,1,70,1,46,1,32
REF-143319,10,4211,11,3740,16,3409
REF-147348,1,12,1,7,1,8
REF-137578,9,3262,8,2546,3,1575
REF-130064,11,3771,7,2053,18,1888
REF-115697,10,1407,5,1006,1,602
REF-123120,29,2705,19,2315,15,2428
REF-124509,7,1584,4,1736,19,1440
REF-145179,8,4254,11,4003,12,5188
REF-108614,1,276,1,226,1,236
REF-119707,6,2425,11,1841,9,1991
REF-102727,8,3361,7,2506,11,2547
REF-132342,4,633,3,670,2,771
REF-129023,14,3901,7,3158,20,3129
REF-107215,18,4381,24,5156,33,4927
REF-105043,6,2452,9,2818,9,1593
REF-134550,11,4021,9,2270,11,2384
REF-136799,18,3144,8,3196,8,3854
REF-125352,6,2531,26,2220,10,1677
REF-110370,8,3278,18,3838,8,4040
REF-135188,7,1997,7,1792,9,1330
REF-140590,37,4519,59,5805,28,7078
REF-125180,9,2712,15,2715,7,2551
REF-130190,6,1802,5,1597,3,1502
REF-138620,4,2072,8,1591,4,1966
REF-101117,33,3416,15,3052,3,1729
REF-132549,35,4159,10,4524,23,4801
REF-142072,34,4170,16,4635,7,3449
REF-103474,4,2103,7,1347,2,1190
REF-140006,12,2889,27,3615,11,4695
REF-100379,4,2045,6,2204,4,1185
REF-121611,1,165,1,176,1,225
REF-125493,1,232,1,250,1,276
REF-142987,16,4287,14,2281,10,2610
REF-118884,9,3034,21,3720,8,4045
REF-128903,8,1832,16,1055,3,1311
REF-147064,9,2240,8,2160,23,2729
REF-104424,24,2731,9,2799,7,2782
REF-135834,6,1139,6,1424,21,1716
REF-118543,7,2567,5,2348,9,2893
REF-115758,8,1826,5,2312,5,1265
REF-125193,8,3687,28,2946,9,1819
REF-141774,29,4403,16,5243,36,5427
REF-131329,16,3942,5,2062,5,1708
REF-114262,31,1812,22,2249,5,2426
REF-149222,5,1897,4,1494,2,817
REF-116939,13,3417,9,4108,6,2168
REF-126450,13,2985,8,2541,9,1634
REF-124883,13,2538,10,1877,6,1971
REF-123082,20,4577,5,2960,13,2146
REF-139276,52,4495,24,5462,94,7087
REF-111120,5,724,3,531,1,511
REF-131946,1,47,1,28,1,17
REF-103218,1,654,2,427,1,519
REF-123185,7,2612,20,1786,4,1841
REF-143894,8,3212,12,2364,14,2003
REF-113488,43,3825,26,3299,30,3992
REF-149406,19,3241,8,4101,7,3242
REF-118379,14,2779,4,2264,4,1215
REF-129872,7,3115,8,3839,30,4333
REF-105793,12,3559,15,3754,30,4273
REF-126048,1,459,1,363,1,313
REF-143709,8,1138,4,864,5,666
REF-131562,2,575,1,288,1,219
REF-113568,2,1311,17,1304,3,1046
REF-142466,13,1575,1,856,5,901
REF-125071,15,1020,1,677,9,522
REF-140538,30,4254,15,2367,25,2456
REF-128535,9,4249,10,4316,17,2714
REF-129126,21,2762,9,2495,5,2341
REF-109749,11,2216,5,1514,3,1500
REF-143633,4,788,3,645,1,455
REF-146738,37,2281,3,1347,3,727
REF-131697,10,2022,6,1369,11,1221
REF-117341,2,849,4,1054,4,959
REF-143624,37,2679,13,1810,5,2310
REF-120410,13,3454,4,1771,7,931
REF-112945,28,2163,12,2360,6,1558
REF-147895,1,131,1,138,1,124
REF-124537,6,2778,24,2630,8,2443
REF-135237,7,920,4,1043,3,853
REF-134706,2,511,1,269,1,339
REF-113164,3,889,5,757,4,657
REF-138872,1,240,1,190,1,177
REF-121163,8,2899,3,1492,6,1143
REF-101524,10,3606,22,3030,30,3935
REF-122108,18,4635,88,5236,15,3034
REF-146977,33,4017,14,3675,69,4406
REF-118193,11,4868,18,5170,16,5267
REF-108854,15,4646,12,5897,68,5741
REF-121884,2,1358,7,737,5,840
REF-139712,11,2839,18,2853,4,1740
REF-108885,45,2441,6,1999,2,1162
REF-134611,3,1017,1,615,1,542
REF-136882,17,2310,17,2279,5,2302
REF-106607,5,1138,5,974,2,491
REF-140110,11,4513,50,4614,34,5166
REF-114886,2,698,1,503,2,616
REF-146113,6,1337,2,997,3,641
REF-149274,7,2183,5,2198,30,2473
REF-143771,9,1699,6,2016,2,1409
REF-120135,9,2855,6,2814,4,2018
REF-114280,1,250,3,312,1,182
REF-120605,8,4201,26,5211,23,6136
REF-103820,18,3859,5,2131,35,1829
REF-127577,12,4756,40,5589,7,3837
REF-146909,10,801,4,981,2,625
REF-147246,28,2228,10,2139,6,2414
REF-149348,14,4887,10,5054,7,2985
REF-136245,9,3918,11,3588,18,4467
REF-118557,13,3136,10,3175,13,1587
REF-133794,15,4733,11,2392,23,2676
REF-142566,8,1308,1,835,1,459
REF-149822,3,1039,2,1070,3,1356
REF-114486,15,4512,8,3505,12,4098
REF-133678,42,4741,12,5144,26,5521
REF-100277,3,1796,12,1629,18,2042
REF-145703,4,1636,2,1138,4,1451
REF-148097,12,1355,4,1696,5,1141
REF-144821,1,216,1,191,1,96
